frame,num_particles,solver_iters,max_neighbors,sort_every_n,sim_ms_gpu,clear,points_speed,present,gpu_0,render_ms,frame_ms,fps,profile
58,1.024e+06,2,64,1,-1,0.1356,0.0007,0.1583,0.003072,3.7369,4.4836,223.035,""
59,1.024e+06,2,64,1,-1,0.1357,0.0004,0.1886,0.003072,3.4457,4.4541,224.512,""
60,1.024e+06,2,64,1,-1,0.1448,0.0005,0.1574,0.003072,3.6906,4.4369,225.383,""
61,1.024e+06,2,64,1,-1,0.1179,0.0005,0.1432,0.003936,3.4616,4.4364,225.408,""
62,1.024e+06,2,64,1,-1,0.1194,0.0005,0.1475,0.003072,3.6736,4.3924,227.666,""
63,1.024e+06,2,64,1,-1,0.1428,0.0005,0.1607,0.003072,3.6484,4.5741,218.622,""
64,1.024e+06,2,64,1,-1,0.1293,0.0007,0.1557,0.002976,3.7215,4.4707,223.679,""
65,1.024e+06,2,64,1,-1,0.1215,0.0005,0.1439,0.003968,3.7051,4.4382,225.317,""
66,1.024e+06,2,64,1,-1,0.1298,0.0005,0.1539,0.004096,3.3776,4.4787,223.279,""
67,1.024e+06,2,64,1,-1,0.116,0.0007,0.1565,0.004096,3.4253,4.4593,224.25,""
68,1.024e+06,2,64,1,-1,0.1254,0.0005,0.1527,0.003072,3.6783,4.4741,223.509,""
69,1.024e+06,2,64,1,-1,0.1389,0.0006,0.1609,0.003072,3.343,4.4776,223.334,""
70,1.024e+06,2,64,1,-1,0.1222,0.0006,0.1457,0.003936,3.3975,4.496,222.42,""
71,1.024e+06,2,64,1,-1,0.1198,0.0006,0.1445,0.003072,3.7279,4.4513,224.653,""
72,1.024e+06,2,64,1,-1,0.1319,0.0005,0.1531,0.004,3.4199,4.5332,220.595,""
73,1.024e+06,2,64,1,-1,0.1462,0.0006,0.1659,0.002048,3.3674,4.4257,225.953,""
74,1.024e+06,2,64,1,-1,0.119,0.0004,0.1509,0.003072,3.771,4.5007,222.188,""
75,1.024e+06,2,64,1,-1,0.1351,0.0006,0.1507,0.003072,3.7403,4.4923,222.603,""
76,1.024e+06,2,64,1,-1,0.1313,0.0005,0.1522,0.004096,3.6914,4.4431,225.068,""
77,1.024e+06,2,64,1,-1,0.1132,0.0005,0.1369,0.003072,3.7148,4.426,225.938,""
78,1.024e+06,2,64,1,-1,0.139,0.0006,0.1727,0.003072,3.7122,4.4783,223.299,""
79,1.024e+06,2,64,1,-1,0.1252,0.0007,0.1542,0.003968,3.6786,4.5068,221.887,""
80,1.024e+06,2,64,1,-1,0.1242,0.0008,0.1482,0.004096,3.6916,4.4354,225.459,""
81,1.024e+06,2,64,1,-1,0.1262,0.0005,0.1532,0.003072,3.7652,4.5022,222.114,""
82,1.024e+06,2,64,1,-1,0.1421,0.0006,0.1661,0.003072,3.2205,4.495,222.469,""
83,1.024e+06,2,64,1,-1,0.1342,0.0005,0.161,0.003072,3.6782,4.4033,227.102,""
84,1.024e+06,2,64,1,-1,0.1541,0.0006,0.178,0.003968,3.7748,4.6325,215.866,""
85,1.024e+06,2,64,1,-1,0.1397,0.0007,0.1516,0.003072,3.658,4.4142,226.542,""
86,1.024e+06,2,64,1,-1,0.1054,0.0004,0.1395,0.003072,3.7042,4.4292,225.774,""
87,1.024e+06,2,64,1,-1,0.1205,0.0005,0.1463,0.003072,3.7851,4.5161,221.43,""
88,1.024e+06,2,64,1,-1,0.1393,0.0005,0.1738,0.003872,3.7123,4.4774,223.344,""
89,1.024e+06,2,64,1,-1,0.1232,0.0006,0.1602,0.003936,3.6674,4.4561,224.411,""
90,1.024e+06,2,64,1,-1,0.127,0.0005,0.1457,0.004096,3.7066,4.5002,222.212,""
91,1.024e+06,2,64,1,-1,0.1309,0.0006,0.1574,0.003072,3.6907,4.4313,225.667,""
92,1.024e+06,2,64,1,-1,0.1203,0.0005,0.1491,0.003072,3.7496,4.4563,224.401,""
93,1.024e+06,2,64,1,-1,0.1244,0.0006,0.1473,0.003072,3.6668,4.4916,222.638,""
