frame,num_particles,solver_iters,max_neighbors,sort_every_n,sim_ms_gpu,clear,points,points_speed,present,gpu_0,render_ms,frame_ms,fps,profile
53,1.024e+06,1,64,1,-1,0.3688,0.0007,0.0547,0.3399,0.001024,3.8159,4.4407,225.19,""
54,1.024e+06,1,64,1,-1,0.3611,0.0005,0.0553,0.5754,0.002048,3.7557,4.4527,224.583,""
55,1.024e+06,1,64,1,-1,0.3199,0.0004,0.0489,0.2962,0.001888,3.8124,4.4693,223.749,""
56,1.024e+06,1,64,1,-1,0.2958,0.0005,0.0637,0.3851,0.002048,3.7567,4.3748,228.582,""
57,1.024e+06,1,64,1,-1,0.3007,0.0004,0.0477,0.2906,0.002048,3.7563,4.3938,227.593,""
58,1.024e+06,1,64,1,-1,0.3886,0.0008,0.0758,0.5285,0.002048,3.4299,4.5898,217.874,""
59,1.024e+06,1,64,1,-1,0.3572,0.0005,0.0531,0.3225,0.002048,3.6715,4.4071,226.907,""
60,1.024e+06,1,64,1,-1,0.3142,0.0005,0.0478,0.3435,0.004032,3.7172,4.3789,228.368,""
61,1.024e+06,1,64,1,-1,0.3219,0.0004,0.0502,0.3089,0.003072,3.6975,4.3128,231.868,""
62,1.024e+06,1,64,1,-1,0.2949,0.0004,0.0483,0.3445,0.002848,3.6661,4.3757,228.535,""
63,1.024e+06,1,64,1,-1,0.3357,0.0005,0.0525,0.4121,0.003072,3.7381,4.3729,228.681,""
64,1.024e+06,1,64,1,-1,0.3174,0.0004,0.0513,0.3498,0.003072,3.639,4.3812,228.248,""
65,1.024e+06,1,64,1,-1,0.3227,0.0004,0.0516,0.3036,0.00288,3.707,4.329,231,""
66,1.024e+06,1,64,1,-1,0.4622,0.0004,0.0905,0.3779,0.002048,3.542,4.473,223.564,""
67,1.024e+06,1,64,1,-1,0.3043,0.0005,0.0503,0.3124,0.002048,3.7095,4.345,230.15,""
68,1.024e+06,1,64,1,-1,0.3462,0.0006,0.0711,0.4564,0.002048,3.4752,4.3367,230.59,""
69,1.024e+06,1,64,1,-1,0.3186,0.0006,0.0607,0.3601,0.002048,3.4422,4.3695,228.859,""
70,1.024e+06,1,64,1,-1,0.3311,0.0005,0.0522,0.3795,0.002048,3.5263,4.3454,230.128,""
71,1.024e+06,1,64,1,-1,0.3566,0.0006,0.0646,0.3803,0.002048,3.6622,4.397,227.428,""
72,1.024e+06,1,64,1,-1,0.3269,0.0004,0.0495,0.3577,0.003072,3.6734,4.3603,229.342,""
73,1.024e+06,1,64,1,-1,0.2889,0.0005,0.0524,0.2842,0.003072,3.702,4.3527,229.742,""
74,1.024e+06,1,64,1,-1,0.2894,0.0005,0.0502,0.2813,0.002048,3.6874,4.3401,230.409,""
75,1.024e+06,1,64,1,-1,0.3344,0.0008,0.0522,0.3104,0.002944,3.6498,4.36,229.358,""
76,1.024e+06,1,64,1,-1,0.4022,0.0006,0.072,0.4711,0.002048,3.5919,4.4516,224.638,""
77,1.024e+06,1,64,1,-1,0.3031,0.0004,0.049,0.2909,0.002048,3.5774,4.4012,227.211,""
78,1.024e+06,1,64,1,-1,0.3355,0.0006,0.0609,0.4667,0.003072,3.7515,4.4374,225.357,""
79,1.024e+06,1,64,1,-1,0.301,0.0005,0.0508,0.2624,0.002912,3.5959,4.3999,227.278,""
80,1.024e+06,1,64,1,-1,0.2776,0.0004,0.0476,0.321,0.003008,3.7648,4.3652,229.085,""
81,1.024e+06,1,64,1,-1,0.3293,0.0006,0.0636,0.3237,0.003008,3.6316,4.3982,227.366,""
82,1.024e+06,1,64,1,-1,0.3353,0.0005,0.059,0.3706,0.003072,3.6339,4.3327,230.803,""
83,1.024e+06,1,64,1,-1,0.3081,0.0003,0.047,0.3033,0.002048,3.6506,4.5892,217.903,""
84,1.024e+06,1,64,1,-1,0.3263,0.0004,0.0492,0.2775,0.003072,3.6395,4.3539,229.679,""
85,1.024e+06,1,64,1,-1,0.3022,0.0006,0.0482,0.3012,0.003072,3.458,4.3253,231.198,""
86,1.024e+06,1,64,1,-1,0.4083,0.0006,0.0863,0.4291,0.002048,3.6284,4.3464,230.075,""
87,1.024e+06,1,64,1,-1,0.3619,0.0007,0.0629,0.3177,0.003072,3.7071,4.3943,227.568,""
88,1.024e+06,1,64,1,-1,0.3022,0.0005,0.0484,0.2555,0.003072,3.5533,4.291,233.046,""
89,1.024e+06,1,64,1,-1,0.3,0.0005,0.0628,0.318,0.002048,3.6867,4.3003,232.542,""
90,1.024e+06,1,64,1,-1,0.3071,0.0005,0.049,0.2874,0.003072,3.682,4.346,230.097,""
91,1.024e+06,1,64,1,-1,0.2912,0.0005,0.0466,0.259,0.002944,3.7657,4.3834,228.133,""
92,1.024e+06,1,64,1,-1,0.4347,0.0005,0.0487,0.3245,0.002048,3.6867,4.2854,233.35,""
93,1.024e+06,1,64,1,-1,0.2835,0.0003,0.0476,0.2724,0.003072,3.6022,4.3038,232.353,""
94,1.024e+06,1,64,1,-1,0.3255,0.0007,0.0493,0.3279,0.003072,3.5605,4.3311,230.888,""
95,1.024e+06,1,64,1,-1,0.3071,0.0003,0.0471,0.2638,0.003072,3.5704,4.2998,232.569,""
96,1.024e+06,1,64,1,-1,0.281,0.0004,0.0483,0.3034,0.003072,3.7997,4.3775,228.441,""
97,1.024e+06,1,64,1,-1,0.3002,0.0007,0.0474,0.3206,0.003072,3.344,4.3429,230.261,""
98,1.024e+06,1,64,1,-1,0.3335,0.0005,0.0648,0.3764,0.00304,3.7033,4.2881,233.204,""
99,1.024e+06,1,64,1,-1,0.3165,0.0005,0.0486,0.3964,0.002048,3.5542,4.3588,229.421,""
100,1.024e+06,1,64,1,-1,0.4858,0.0005,0.0541,0.45,0.002048,3.7628,4.3738,228.634,""
101,1.024e+06,1,64,1,-1,0.2825,0.0005,0.0476,0.3157,0.003072,3.6872,4.359,229.41,""
102,1.024e+06,1,64,1,-1,0.3022,0.0004,0.0462,0.2878,0.003072,3.6801,4.3706,228.802,""
103,1.024e+06,1,64,1,-1,0.3281,0.0004,0.0478,0.316,0.003072,3.6067,4.3032,232.385,""
